state,respondents,has_copd,percentage,ninety_five_percent_confidence_interval,abbreviation
Alabama,7628,911,9.1,"(8.2,10.0)",AL
Alaska,3508,215,5.9,"(4.8,7.2)",AK
Arizona,6243,565,5.1,"(4.4,5.9)",AZ
Arkansas,4686,519,7.2,"(6.3,8.2)",AR
California,16914,1097,4.4,"(4.1,4.9)",CA
Colorado,13440,884,4.6,"(4.1,5.1)",CO
Connecticut,6724,434,5.7,"(4.8,6.6)",CT
Delaware,4718,347,4.8,"(4.1,5.6)",DE
District of Columbia,4476,244,4.6,"(3.9,5.5)",DC
Florida,12241,1333,7.1,"(6.5,7.9)",FL
Georgia,9859,859,6.9,"(6.3,7.6)",GA
Hawaii,7547,396,4.2,"(3.5,4.9)",HI
Idaho,6001,428,5,"(4.4,5.8)",ID
Illinois,5452,414,5.9,"(5.1,6.8)",IL
Indiana,8404,853,7.9,"(7.2,8.6)",IN
Iowa,7272,443,4.6,"(4.1,5.3)",IA
Kansas,20588,1650,6.2,"(5.8,6.7)",KS
Kentucky,10767,1364,9.3,"(8.5,10.2)",KY
Louisiana,10856,940,6.5,"(5.9,7.3)",LA
Maine,13135,1211,6.9,"(6.3,7.4)",ME
Maryland,9951,675,5.8,"(5.1,6.6)",MD
Massachusetts,21910,1698,5.4,"(5.0,5.9)",MA
Michigan,10943,1042,7.4,"(6.7,8.1)",MI
Minnesota,15234,724,3.9,"(3.5,4.4)",MN
Mississippi,8856,854,7.9,"(7.2,8.7)",MS
Missouri,6355,675,7.6,"(6.8,8.4)",MO
Montana,10202,716,5.4,"(4.8,6.1)",MT
Nebraska,25287,1633,4.6,"(4.3,5.0)",NE
Nevada,5397,473,6.9,"(5.9,8.1)",NV
New Hampshire,6277,487,5.9,"(5.2,6.7)",NH
New Jersey,15122,991,4.8,"(4.4,5.3)",NJ
New Mexico,9336,730,5.8,"(5.2,6.4)",NM
New York,7603,503,5.6,"(4.9,6.3)",NY
North Carolina,11406,1023,6.5,"(5.9,7.2)",NC
North Dakota,5246,293,4.4,"(3.7,5.1)",ND
Ohio,9803,922,7.1,"(6.4,7.8)",OH
Oklahoma,8506,934,8,"(7.3,8.8)",OK
Oregon,6188,454,5.4,"(4.8,6.2)",OR
Pennsylvania,11376,935,6.1,"(5.5,6.7)",PA
Rhode Island,6426,492,5.9,"(5.2,6.6)",RI
South Carolina,12845,1208,7.1,"(6.5,7.7)",SC
South Dakota,8209,553,4.9,"(4.1,5.8)",SD
Tennessee,5859,653,8.7,"(7.3,10.4)",TN
Texas,14834,1215,5.5,"(5.0,6.1)",TX
Utah,12540,595,4.2,"(3.8,4.7)",UT
Vermont,7030,455,4.4,"(3.9,5.0)",VT
Virginia,6518,502,5.8,"(5.1,6.6)",VA
Washington,14630,842,3.9,"(3.5,4.4)",WA
West Virginia,5246,529,8,"(7.2,9.0)",WV
Wisconsin,5252,349,5,"(4.1,6.1)",WI
Wyoming,6811,533,5.6,"(5.0,6.4)",WY
Puerto Rico,6568,243,3.1,"(2.7,3.6)",PR
