hospital_name,staffed_beds,total_payments,copd_total,copd_ratio,ami_total,ami_ratio,pneumonia_total,pneumonia_ratio,hip_knee_total,hip_knee_ratio,hf_total,hf_ratio
SOUTHEAST ALABAMA MEDICAL CENTER,420,35736409,1147375,1.0800,1235232,1.0168,784758,1.0180,2065257,1.0342,1893400,0.8887
MARSHALL MEDICAL CENTER SOUTH,204,17748643,1115447,0.9486,,0.9519,1568653,0.9970,,1.2298,869723,0.8952
ELIZA COFFEE MEMORIAL HOSPITAL,358,23665842,1056261,0.9559,240586,0.9031,1455618,0.9736,1795957,0.8019,1533641,0.8529
ST VINCENT'S EAST,311,19551914,482562,0.9830,,1.0188,1268357,0.9654,2033131,1.0763,704654,0.8961
SHELBY BAPTIST MEDICAL CENTER,223,15106956,469216,0.9067,532616,1.0601,764410,1.0259,,1.2319,801826,0.9968
BAPTIST MEDICAL CENTER SOUTH,423,32847861,613760,0.9383,648725,1.0913,502849,1.0850,,1.0431,1745338,1.0570
EAST ALABAMA MEDICAL CENTER AND SNF,,27717205,881219,0.9187,,1.1645,567328,0.9165,3958860,1.0557,1641221,0.9450
UNIVERSITY OF ALABAMA HOSPITAL,1118,57829088,887427,1.0619,879949,1.1871,1992004,1.2371,3018471,1.2331,2340263,1.0540
CULLMAN REGIONAL MEDICAL CENTER,115,13987527,630582,1.0400,,0.9370,794274,1.0538,1964392,1.1033,972092,0.9695
HUNTSVILLE HOSPITAL,870,87721238,2621362,0.9674,1740709,0.9892,2174529,0.9265,10123832,1.0040,5114162,0.9957
GADSDEN REGIONAL MEDICAL CENTER,300,26021331,1215483,0.9474,318270,1.0023,1149259,0.9577,2054294,1.3853,1347758,0.9947
FLOWERS HOSPITAL,234,21329707,659266,0.9843,578138,1.0229,711742,0.9914,,0.9365,1401302,1.0416
ST VINCENT'S BIRMINGHAM,442,31504596,712755,1.0174,323466,1.1128,1112963,0.9699,6294874,1.1762,1038612,1.0031
NORTHEAST ALABAMA REGIONAL MED CENTER,0,24258144,1142036,0.9740,905078,1.1240,1021855,1.0536,2265008,1.0308,1569873,1.0007
DECATUR GENERAL HOSPITAL,,17656651,687476,0.9595,,0.9294,891647,1.0437,1988320,1.0420,1486839,0.9231
PROVIDENCE HOSPITAL,495,52023750,648209,0.9653,338005,0.9649,1250667,1.0625,2899687,1.1835,1180611,0.9337
D C H REGIONAL MEDICAL CENTER,623,65661124,2574760,1.0143,615376,1.2338,2913975,1.0522,5280314,1.2757,3386497,1.0028
THOMAS HOSPITAL,129,10642111,311271,0.9178,,1.0596,321615,0.9061,2788673,1.0085,640779,0.9316
BAPTIST MEDICAL CENTER-PRINCETON,303,24551516,670464,0.9826,,0.9712,898572,0.9797,,0.8746,1351267,0.9335
TRINITY MEDICAL CENTER,368,21399710,412516,1.0198,575116,0.9663,763431,0.8607,3183186,1.1175,841979,0.8837
MOBILE INFIRMARY,689,43813878,1374706,1.1087,,1.0666,1348612,1.1006,3354231,1.1229,2094733,1.0942
BROOKWOOD MEDICAL CENTER,631,24626917,577856,1.0174,,1.0273,854528,1.0180,3326416,1.0341,771068,1.0254
