mco_id,mco_name,mco_owner,owner_id,address,city,state_abbreviation,zip,url,profit_status,private_public,telephone_one,telephone_two,fax,contracted_pbm,contracted_sp_vendor,service_areas,aliases,provider_sponsored,blues,al,ak,ar,az,ca,co,ct,dc,de,fl,ga,hi,ia,id,il,in,ks,ky,la,ma,me,mi,md,mn,ms,mo,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,ri,sc,sd,tn,tx,ut,va,vt,wa,wi,wv,wy,pr,foreign
9,Arkansas BlueCross BlueShield,Arkansas BlueCross BlueShield.,95,601 South Gaines Street,Little Rock,AR,72201,www.arkbluecross.com,Not-for-profit.,Private.,501-378-2000,800-238-8379,,CVS/Caremark Rx,CVS/Caremark Rx,Arkansas.,USAble Mutual Insurance Company.,NO,YES,0,0,399057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Blue Cross and Blue Shield of Alabama,,,450 Riverchase Parkway East,Birmingham,AL,35244,www.bcbsal.com,Not-for-profit.,Private.,205-220-2100,800-292-8868,205-220-2949,Prime Therapeutics,,Alabama and Nationwide.,,NO,YES,2092382,1368,16581,9237,38204,8176,4508,239,865,73341,78609,171,16375,3762,31508,38833,4998,44906,21692,8185,2302,22748,7993,10637,43584,19832,1725,58389,704,4077,2966,9783,3604,5024,20194,37536,5704,4245,25217,1342,31565,1286,56913,83497,3711,33161,706,9770,12736,6920,1480,36,
11,"Blue Cross and Blue Shield of Florida, Inc.",,97,4800 Deerwood Campus Parkway,Jacksonville,FL,32246,www.floridablue.com,Not-for-profit.,Private.,904-905-0000,800-267-3156,904-905-5650,Prime Therapeutics,CVS/Caremark Rx,Florida.,"Florida Blue; Florida True Health; Health Options, Inc.",NO,YES,0,0,0,0,0,0,0,0,0,2922415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,AlohaCare,,,"1357 Kapiolani Boulevard, Suite 1250",Honolulu,HI,96814,www.alohacare.org,Not-for-profit.,Private.,808-973-1650,800-434-1002,808-973-0726,,,Hawaii.,AlohaCare QUEST,YES,NO,0,0,0,0,0,0,0,0,0,0,0,69374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,"AmeriHealth Insurance Company of New Jersey (AmeriHealth) and AmeriHealth HMO, Inc.",Independence Blue Cross.,25,"259 Prospect Plains Road, Building M",Cranbury,NJ,08512,www.amerihealth.com,Not-for-profit,Private.,609-662-2400,800-275-2583,,Catamaran Corporation (FutureScripts),Catamaran Corporation (FutureScripts),"Delaware, Maryland, New Jersey, Pennsylvania.","AmeriHealth Insurance Company of New Jersey and AmeriHealth HMO, Inc. AmeriHealth, Inc. is a subsidiary of Independence Blue Cross.",NO,NO,11,1,1,44,169,42,73,7,595,346,69,1,0,4,54,51,12,10,8,122,22,32,133,24,0,14,1,69,0,2,20,146191,0,2,1080,58,0,4,11374,24,41,0,32,104,1,105,10,42,11,16,1,0,
21,Health Choice Management Company,IASIS Healthcare.,,"410 North 44th Street, Suite 900",Phoenix,AZ,85008,www.healthchoiceaz.com,For-profit.,Private.,480-968-6866,800322-8670,480-784-2933,Catamaran Corporation,BriovaRx,"Arizona, Utah.","Health Choice Generations; Health Choice Arizona, Inc.; Health Choice Insurance Co.; Health Choice Utah.",YES,NO,0,0,0,207400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,
22,Maricopa Health Plan,Maricopa Integrated Health System.,101,"2502 East University Drive, Suite 125",Phoenix,AZ,85034,www.mhpaz.com,Not-for-profit.,Private.,800-582-8686,,866-210-0512,Express Scripts,,Arizona.,Maricopa Advantage.,YES,NO,0,0,0,45889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,Mercy Care Plan,"Southwest Catholic Health Network. Administered by Schaller Anderson, LLC, an Aetna Company.",9,"4350 East Cotton Center Boulevard, Building D",Phoenix,AZ,85040,www.mercycareplan.com,Not-for-profit.,Private.,602-263-3000,800-624-3879,,,,Arizona.,,YES,NO,0,0,0,342716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,Phoenix Health Plans,Tenet Healthcare.,,"7878 North 16th Street, Suite 105",Phoenix,AZ,85020,www.phoenixhealthplans.com,Not-for-profit.,Private subsidiary of public company.,602-824-3700,,,,,Arizona.,"Fka Abrazo Advantage Health Plan, Community Connection.",YES,NO,0,0,0,94083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,University Physicians Health Plans,Maricopa Integrated Health System.,101,2701 East Elvira Road,Tucson,AZ,85756,www.ufcaz.com,Not-for-profit.,Private.,800-582-8686,,866-210-0512,Express Scripts,,Arizona.,University Family Care (UFC); University of Arizona Health Plans.,YES,NO,0,0,0,98373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
