hospital_name,city,state,staffed_beds,total_discharges,patient_days,gross_patient_revenue
3RD MEDICAL GROUP - UNITED STATES AIR FORCE REGIONAL HOSPITAL,Elmendorf Air Force Base,Alaska,0,0,0,
ALASKA NATIVE MEDICAL CENTER,Anchorage,Alaska,152,7311,39602,
ALASKA REGIONAL HOSPITAL,Anchorage,Alaska,148,5112,23863,627224
BARTLETT REGIONAL HOSPITAL,Juneau,Alaska,57,1785,6722,126246
BASSETT ARMY COMMUNITY HOSPITAL,Fort Wainwright,Alaska,0,0,0,
CENTRAL PENINSULA GENERAL HOSPITAL,Soldotna,Alaska,106,2332,7715,215317
FAIRBANKS MEMORIAL HOSPITAL & DENALI CENTER,Fairbanks,Alaska,212,5016,20998,355584
MAT-SU REGIONAL MEDICAL CENTER,Palmer,Alaska,74,4346,15903,403992
MOUNT EDGECUMBE HOSPITAL,Sitka,Alaska,27,633,2402,
PROVIDENCE ALASKA MEDICAL CENTER,Anchorage,Alaska,383,16149,100386,1711214
SAMUEL SIMMONDS MEMORIAL HOSPITAL,Barrow,Alaska,14,213,660,
YUKON-KUSKOKWIM DELTA REGIONAL HOSPITAL,Bethel,Alaska,0,0,0,
ANDALUSIA REGIONAL HOSPITAL,Andalusia,Alabama,89,2999,10410,139614
ATHENS-LIMESTONE HOSPITAL,Athens,Alabama,101,4553,16322,194159
ATMORE COMMUNITY HOSPITAL,Atmore,Alabama,49,1313,4714,87031
BAPTIST MEDICAL CENTER EAST,Montgomery,Alabama,149,10127,48633,436747
BAPTIST MEDICAL CENTER SOUTH,Montgomery,Alabama,423,16789,83797,1211864
BIBB MEDICAL CENTER,Centreville,Alabama,156,253,1082,24884
BIRMINGHAM VA MEDICAL CENTER,Birmingham,Alabama,0,0,0,
BROOKWOOD MEDICAL CENTER,Birmingham,Alabama,631,19785,89691,3168256
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,Demopolis,Alabama,99,2773,10447,63811
BULLOCK COUNTY HOSPITAL,Union Springs,Alabama,54,826,3739,36882
CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM - EAST CAMPUS,Tuskegee,Alabama,0,0,0,
CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM - WEST CAMPUS,Montgomery,Alabama,0,0,0,
