mco_id,mco_name,mco_owner,owner_id,address,city,state_abbreviation,zip,url,profit_status,private_public,telephone_one,telephone_two,fax,contracted_pbm,contracted_sp_vendor,service_areas,aliases,provider_sponsored,blues,al,ak,ar,az,ca,co,ct,dc,de,fl,ga,hi,ia,id,il,in,ks,ky,la,ma,me,mi,md,mn,ms,mo,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,ri,sc,sd,tn,tx,ut,va,vt,wa,wi,wv,wy,pr,foreign
487,"Security Health Plan of Wisconsin, Inc.",Marshfield Clinic.,,1515 Saint Joseph Avenue; P.O. Box 8000,Marshfield,WI,54449-8000,www.securityhealth.org,Not-for-profit.,Private.,(715) 221-9555,(800) 472-2363,(715) 221-9500,,,Wisconsin.,,YES,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"181,013",0,0,0,
491,Unity Health Insurance,UW Health.,,840 Carolina Street,Sauk City,WI,53583,www.unityhealth.com,For-profit.,Private.,(608) 643-2491,(800) 362-3309,(608) 643-2564,MedImpact Healthcare Systems,UW Health Pharmacies,Wisconsin.,,YES,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"150,343",0,0,0,
507,Parkland Community Health Plan,Dallas County Hospital District.,,2777 North Stemmons Freeway,Dallas,TX,75207,www.parklandhmo.com,Not-for-profit.,Government.,(214) 266-2100,,(214) 266-2150,Texas Health and Human Services Commission,Texas Health and Human Services Commission,Texas.,aka Parkland Healthfirst.,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"196,496",0,0,0,0,0,0,0,0,
508,Blue Cross and Blue Shield of Texas (BCBSTX),"Health Care Service Corporation, a mutual legal reserve company.",2,1001 East Lookout Drive,Richardson,TX,75082,www.bcbstx.com,Not-for-profit.,Mutual company.,(972) 766-6900,(800) 521-2227,(972) 766-0862,Prime Therapeutics,Prime Therapeutics,Texas.,"HCSC Insurance Services Company, HMO Blue Texas.",NO,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,752,509",0,0,0,0,0,0,0,0,
371,Blue Cross and Blue Shield of New Mexico,"Health Care Service Corporation, a mutual legal reserve company.",2,"5701 Balloon Fiesta Parkway, NE",Albuquerque,NM,87113,www.bcbsnm.com,Not-for-profit.,Private.,(505) 291-3500,(505) 653-6000,(505) 837-2600,Prime Therapeutics,PrimeRxSpecialty (a program of Prime Therapeutics with Triessent Specialty Pharmacy),New Mexico.,Formerly HMO New Mexico.,NO,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"283,334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
372,Presbyterian Health Plan/Presbyterian Insurance Company,Presbyterian Healthcare Services.,,P.O. Box 27489,Albuquerque,NM,87125,www.phs.org,For-profit.,Private.,(505) 923-5700,(505) 923-5678,(505) 923-5540,Catamaran Corporation,,"Arizona, Colorado, New Mexico, Texas.",Presbyterian Insurance Company.,YES,NO,0,0,0,101,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"420,223",0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,
378,"HealthPartners, Inc.",,,8170 33rd Avenue S,Minneapolis,MN,55425,www.healthpartners.com,Not-for-profit.,Private.,(952) 883-6000,(952) 883-5000,,MedImpact Healthcare Systems,CVS/Caremark Rx,"Minnesota, Wisconsin.","HealthPartners Insurance Company, Inc., Group Health Plan",YES,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"792,075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,769",0,0,0,
1609,CalViva Health,Fresno-Kings-Madera Regional Health Authority,,"1315 Van Ness Avenue, Suite 103",Fresno,CA,93721,www.calvivahealth.org,Not-for-profit,Government.,(866) 863-2465,(888) 893-1569,,,,California.,,NO,NO,0,0,0,0,"213,967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
651,Umpqua Health Alliance,,,"1813 West Harvard, Suite 206",Roseburg,OR,97471,www.umpquahealthalliance.org,Not-for-profit.,Private.,(541) 229-4842,(800) 877-6304,,,,Oregon.,,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
653,ITASCA Medical Care,,,1209 Southeast 2nd Avenue,Grand Rapids,MN,55744-3983,www.imcare.org,Not-for-profit.,Government.,(218) 327-2941,,(218) 327-5561,CVS/Caremark Rx,CVS/Caremark Rx,Minnesota.,IMCare.,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
658,Mid Rogue IPA HealthPlan,"Mid Rogue IPA Holding Company, Inc.",,740 Southeast 7th Street,Grants Pass,OR,97526,www.mripa.org,For-profit.,Private.,(541) 471-4106,(888) 460-0185,(541) 471-1524,,,Oregon.,"Mid Rogue Independent Physician Association (IPA), Mid Rogue Community Health Plan, CareSource, AllCare Health Plan (fka Mid Rogue Oregon Health Plan).",YES,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
662,MDWise,Clarian Hospital and Wishard Hospital.,,"1200 Madison Avenue, Suite 400",Indianapolis,IN,46225,www.mdwise.org,Not-for-profit.,Private.,(317) 630-2831,(800) 356-1204,(317) 822-7310,,,Indiana.,MDWise Hoosier Alliance; fka CIMCO.,YES,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"338,892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
196,Boston Medical Center HealthNet Plan,"Boston Medical Center Health Plan, Inc. (BMCHP)",112,"2 Copley Place, Suite 600",Boston,MA,02116,www.bmchp.org,Not-for-profit.,Private.,(617) 748-6000,(800) 792-4355,(617) 748-6316,EnvisionRx,,Massachusetts.,BMC HealthNet Plan.,YES,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"290,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
