state,state_abbreviation,organization_name,enrolled,total_state_ma_enrollment,market_share_in_state
Alabama,AL,"HEALTHSPRING OF ALABAMA, INC.",44973,222128,0.202
Alabama,AL,BLUE CROSS AND BLUE SHIELD OF ALABAMA,43743,222128,0.197
Alabama,AL,"VIVA HEALTH, INC.",42231,222128,0.190
Alabama,AL,"UNITEDHEALTHCARE OF ALABAMA, INC.",38146,222128,0.172
Alabama,AL,HUMANA INSURANCE COMPANY,28657,222128,0.129
Alabama,AL,"HUMANA HEALTH PLAN, INC.",13186,222128,0.059
Alabama,AL,"HIGHMARK, INC.",5075,222128,0.023
Alabama,AL,BLUE CROSS BLUE SHIELD OF MICHIGAN,1978,222128,0.009
Alabama,AL,UNITEDHEALTHCARE INSURANCE COMPANY,1485,222128,0.007
Alabama,AL,"BLUE CROSS AND BLUE SHIELD OF GEORGIA, INC.",994,222128,0.004
Alabama,AL,AETNA LIFE INSURANCE COMPANY,813,222128,0.004
Alabama,AL,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,632,222128,0.003
Alabama,AL,MERCY LIFE OF ALABAMA,135,222128,0.001
Alabama,AL,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,57,222128,0.000
Alabama,AL,"ANTHEM INSURANCE COMPANIES, INC.",23,222128,0.000
Alaska,AK,AETNA LIFE INSURANCE COMPANY,30,84,0.357
Alaska,AK,HUMANA INSURANCE COMPANY,27,84,0.321
Alaska,AK,UNITEDHEALTHCARE INSURANCE COMPANY,16,84,0.190
Alaska,AK,"KAISER FOUNDATION HP, INC.",11,84,0.131
Arizona,AZ,"PACIFICARE OF ARIZONA, INC.",93217,401201,0.232
Arizona,AZ,"HEALTH NET OF ARIZONA, INC.",45049,401201,0.112
Arizona,AZ,"CIGNA HEALTHCARE OF ARIZONA, INC.",36275,401201,0.090
Arizona,AZ,"HUMANA HEALTH PLAN, INC.",35611,401201,0.089
Arizona,AZ,"ARIZONA PHYSICIANS IPA, INC.",31727,401201,0.079
Arizona,AZ,"UNITEDHEALTHCARE OF ARIZONA, INC.",23846,401201,0.059
Arizona,AZ,"MEDISUN, INC.",22599,401201,0.056
Arizona,AZ,HUMANA INSURANCE COMPANY,20563,401201,0.051
Arizona,AZ,SOUTHWEST CATHOLIC HEALTH NETWORK CORPORATION,18711,401201,0.047
