mco_id,mco_name,mco_owner,owner_id,address,city,state_abbreviation,zip,url,profit_status,private_public,telephone_one,telephone_two,fax,contracted_pbm,contracted_sp_vendor,service_areas,aliases,provider_sponsored,blues,al,ak,ar,az,ca,co,ct,dc,de,fl,ga,hi,ia,id,il,in,ks,ky,la,ma,me,mi,md,mn,ms,mo,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,ri,sc,sd,tn,tx,ut,va,vt,wa,wi,wv,wy,pr,foreign
485,"Health First Health Plans, Inc.","Health First, Inc.",,6450 U.S. Highway One,Rockledge,FL,32955,www.healthfirsthealthplans.org,For-profit.,Private.,(321) 434-5600,(800) 716-7737,(321) 434-4362,Catamaran Corporation,"Circles of Care, Health First Family Pharmacy",Florida.,Health First Insurance.,TRUE,FALSE,0,0,0,0,0,0,0,0,0,59628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
487,"Security Health Plan of Wisconsin, Inc.",Marshfield Clinic.,,1515 Saint Joseph Avenue; P.O. Box 8000,Marshfield,WI,54449-8000,www.securityhealth.org,Not-for-profit.,Private.,(715) 221-9555,(800) 472-2363,(715) 221-9500,,,Wisconsin.,,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181013,0,0,0,
508,Blue Cross and Blue Shield of Texas (BCBSTX),"Health Care Service Corporation, a mutual legal reserve company.",2,1001 East Lookout Drive,Richardson,TX,75082,www.bcbstx.com,Not-for-profit.,Mutual company.,(972) 766-6900,(800) 521-2227,(972) 766-0862,Prime Therapeutics,Prime Therapeutics,Texas.,"HCSC Insurance Services Company, HMO Blue Texas.",FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4752509,0,0,0,0,0,0,0,0,
372,Presbyterian Health Plan/Presbyterian Insurance Company,Presbyterian Healthcare Services.,,P.O. Box 27489,Albuquerque,NM,87125,www.phs.org,For-profit.,Private.,(505) 923-5700,(505) 923-5678,(505) 923-5540,Catamaran Corporation,,"Arizona, Colorado, New Mexico, Texas.",Presbyterian Insurance Company.,TRUE,FALSE,0,0,0,101,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420223,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,
378,"HealthPartners, Inc.",,,8170 33rd Avenue S,Minneapolis,MN,55425,www.healthpartners.com,Not-for-profit.,Private.,(952) 883-6000,(952) 883-5000,,MedImpact Healthcare Systems,CVS/Caremark Rx,"Minnesota, Wisconsin.","HealthPartners Insurance Company, Inc., Group Health Plan",TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33769,0,0,0,
1602,Suncoast PACE,"The Hospice of the Florida Suncoast, Inc.",,6770 102nd Avenue North,Pinellas Park,FL,33782,www.suncoastpace.org,Not-for-profit,Private.,(727) 289-0062,(866) 458-2933,(727) 523-2497,Seniorscripts,,Florida.,,TRUE,FALSE,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1603,"University Care Advantage, LLC","The University of AZ Health Network, Inc.",101,2701 East Elvira Road,Tucson,AZ,85756,www.universitycareadvantage.com,Not-for-profit.,Private.,(520) 874-3930,(877) 874-3930,,MedImpact Healthcare Systems,,Arizona.,,TRUE,FALSE,0,0,0,3811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
648,Sutter SeniorCare,"Sutter Health Sacramento Sierra Region, an affiliate of the non-profit health system Sutter Health.",,"7000 Franklin Boulevard, Suite 1020",Sacramento,CA,95823,www.sutterseniorcare.org,Not-for-profit.,Private.,(916) 424-8412,(916) 446-3100,(916) 446-3699,,Broadway Long Term Care Pharmacy,California.,Sutter Health Plus,TRUE,FALSE,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
653,ITASCA Medical Care,,,1209 Southeast 2nd Avenue,Grand Rapids,MN,55744-3983,www.imcare.org,Not-for-profit.,Government.,(218) 327-2941,,(218) 327-5561,CVS/Caremark Rx,CVS/Caremark Rx,Minnesota.,IMCare.,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
658,Mid Rogue IPA HealthPlan,"Mid Rogue IPA Holding Company, Inc.",,740 Southeast 7th Street,Grants Pass,OR,97526,www.mripa.org,For-profit.,Private.,(541) 471-4106,(888) 460-0185,(541) 471-1524,,,Oregon.,"Mid Rogue Independent Physician Association (IPA), Mid Rogue Community Health Plan, CareSource, AllCare Health Plan (fka Mid Rogue Oregon Health Plan).",TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
