zip_code,state_abbreviation,msa_number,gpci_one,gpci_two,gpci_three,county_number,msa_name,zip_population,msa_population
00210,NH,14460,1.029,1.291,0.462,015,Boston-Cambridge-Quincy,,4552233
00211,NH,14460,1.029,1.291,0.462,015,Boston-Cambridge-Quincy,,4552233
00212,NH,14460,1.029,1.291,0.462,015,Boston-Cambridge-Quincy,,4552233
00213,NH,14460,1.029,1.291,0.462,015,Boston-Cambridge-Quincy,,4552233
00214,NH,14460,1.029,1.291,0.462,015,Boston-Cambridge-Quincy,,4552233
00215,NH,14460,1.029,1.291,0.462,015,Boston-Cambridge-Quincy,,4552233
00501,NY,35620,1.064,1.289,1.235,103,New York-Northern New Jersey-Long Island,,18871615
00544,NY,35620,1.064,1.289,1.235,103,New York-Northern New Jersey-Long Island,,18871615
00601,PR,99072,1.000,0.694,0.250,001,PR NONMETROPOLITAN AREA,,0
00602,PR,10380,1.000,0.694,0.250,003,Aguadilla-Isabela-San Sebastian,,0
00603,PR,10380,1.000,0.694,0.250,005,Aguadilla-Isabela-San Sebastian,,0
00604,PR,10380,1.000,0.694,0.250,005,Aguadilla-Isabela-San Sebastian,,0
00605,PR,10380,1.000,0.694,0.250,005,Aguadilla-Isabela-San Sebastian,,0
00606,PR,99072,1.000,0.694,0.250,093,PR NONMETROPOLITAN AREA,,0
00610,PR,10380,1.000,0.694,0.250,011,Aguadilla-Isabela-San Sebastian,,0
00611,PR,99072,1.000,0.694,0.250,141,PR NONMETROPOLITAN AREA,,0
00612,PR,41980,1.000,0.773,0.250,013,San Juan-Caguas-Guaynabo,,0
00613,PR,41980,1.000,0.773,0.250,013,San Juan-Caguas-Guaynabo,,0
00614,PR,41980,1.000,0.773,0.250,013,San Juan-Caguas-Guaynabo,,0
00616,PR,41980,1.000,0.773,0.250,013,San Juan-Caguas-Guaynabo,,0
00617,PR,41980,1.000,0.773,0.250,017,San Juan-Caguas-Guaynabo,,0
00622,PR,41900,1.000,0.694,0.250,023,San German-Cabo Rojo,,0
00623,PR,41900,1.000,0.694,0.250,023,San German-Cabo Rojo,,0
00624,PR,49500,1.000,0.694,0.250,111,Yauco,,0
00627,PR,41980,1.000,0.773,0.250,027,San Juan-Caguas-Guaynabo,,0
00631,PR,10380,1.000,0.694,0.250,081,Aguadilla-Isabela-San Sebastian,,0
00636,PR,41900,1.000,0.694,0.250,125,San German-Cabo Rojo,,0
00637,PR,41900,1.000,0.694,0.250,121,San German-Cabo Rojo,,0
00638,PR,41980,1.000,0.773,0.250,039,San Juan-Caguas-Guaynabo,,0
00641,PR,99072,1.000,0.694,0.250,141,PR NONMETROPOLITAN AREA,,0
00646,PR,41980,1.000,0.773,0.250,051,San Juan-Caguas-Guaynabo,,0
00647,PR,49500,1.000,0.694,0.250,055,Yauco,,0
00650,PR,41980,1.000,0.773,0.250,054,San Juan-Caguas-Guaynabo,,0
00652,PR,41980,1.000,0.773,0.250,013,San Juan-Caguas-Guaynabo,,0
00653,PR,49500,1.000,0.694,0.250,055,Yauco,,0
00656,PR,49500,1.000,0.694,0.250,059,Yauco,,0
00659,PR,41980,1.000,0.773,0.250,065,San Juan-Caguas-Guaynabo,,0
00660,PR,32420,1.000,0.694,0.250,067,Mayaguez,,0
00662,PR,10380,1.000,0.694,0.250,071,Aguadilla-Isabela-San Sebastian,,0
00664,PR,99072,1.000,0.694,0.250,073,PR NONMETROPOLITAN AREA,,0
00667,PR,41900,1.000,0.694,0.250,079,San German-Cabo Rojo,,0
00669,PR,10380,1.000,0.694,0.250,081,Aguadilla-Isabela-San Sebastian,,0
00670,PR,99072,1.000,0.694,0.250,083,PR NONMETROPOLITAN AREA,,0
00674,PR,41980,1.000,0.773,0.250,091,San Juan-Caguas-Guaynabo,,0
00676,PR,10380,1.000,0.694,0.250,099,Aguadilla-Isabela-San Sebastian,,0
00677,PR,10380,1.000,0.694,0.250,117,Aguadilla-Isabela-San Sebastian,,0
00678,PR,41980,1.000,0.773,0.250,115,San Juan-Caguas-Guaynabo,,0
00680,PR,32420,1.000,0.694,0.250,097,Mayaguez,,0
00681,PR,32420,1.000,0.694,0.250,097,Mayaguez,,0
00682,PR,32420,1.000,0.694,0.250,097,Mayaguez,,0
00683,PR,41900,1.000,0.694,0.250,125,San German-Cabo Rojo,,0
00685,PR,10380,1.000,0.694,0.250,131,Aguadilla-Isabela-San Sebastian,,0
00687,PR,41980,1.000,0.773,0.250,101,San Juan-Caguas-Guaynabo,,0
00688,PR,41980,1.000,0.773,0.250,013,San Juan-Caguas-Guaynabo,,0
00690,PR,10380,1.000,0.694,0.250,005,Aguadilla-Isabela-San Sebastian,,0
00692,PR,41980,1.000,0.773,0.250,143,San Juan-Caguas-Guaynabo,,0
00693,PR,41980,1.000,0.773,0.250,145,San Juan-Caguas-Guaynabo,,0
00694,PR,41980,1.000,0.773,0.250,145,San Juan-Caguas-Guaynabo,,0
00698,PR,49500,1.000,0.694,0.250,153,Yauco,,0
00703,PR,41980,1.000,0.773,0.250,007,San Juan-Caguas-Guaynabo,,0
00704,PR,25020,1.000,0.694,0.250,057,Guayama,,0
00705,PR,41980,1.000,0.773,0.250,009,San Juan-Caguas-Guaynabo,,0
00707,PR,41980,1.000,0.773,0.250,095,San Juan-Caguas-Guaynabo,,0
00714,PR,25020,1.000,0.694,0.250,015,Guayama,,0
00715,PR,38660,1.000,0.694,0.250,113,Ponce,,0
00716,PR,38660,1.000,0.694,0.250,113,Ponce,,0
00717,PR,38660,1.000,0.694,0.250,113,Ponce,,0
00718,PR,41980,1.000,0.773,0.250,103,San Juan-Caguas-Guaynabo,,0
00719,PR,41980,1.000,0.773,0.250,105,San Juan-Caguas-Guaynabo,,0
00720,PR,41980,1.000,0.773,0.250,107,San Juan-Caguas-Guaynabo,,0
00721,PR,41980,1.000,0.773,0.250,119,San Juan-Caguas-Guaynabo,,0
00723,PR,25020,1.000,0.694,0.250,109,Guayama,,0
00725,PR,41980,1.000,0.773,0.250,025,San Juan-Caguas-Guaynabo,,0
00726,PR,41980,1.000,0.773,0.250,025,San Juan-Caguas-Guaynabo,,0
00727,PR,41980,1.000,0.773,0.250,025,San Juan-Caguas-Guaynabo,,0
00728,PR,38660,1.000,0.694,0.250,113,Ponce,,0
00729,PR,41980,1.000,0.773,0.250,029,San Juan-Caguas-Guaynabo,,0
00730,PR,38660,1.000,0.694,0.250,113,Ponce,,0
00731,PR,38660,1.000,0.694,0.250,113,Ponce,,0
00732,PR,38660,1.000,0.694,0.250,113,Ponce,,0
00733,PR,38660,1.000,0.694,0.250,113,Ponce,,0
00734,PR,38660,1.000,0.694,0.250,113,Ponce,,0
00735,PR,21940,1.000,0.849,0.250,037,Fajardo,,0
00736,PR,41980,1.000,0.773,0.250,035,San Juan-Caguas-Guaynabo,,0
00737,PR,41980,1.000,0.773,0.250,035,San Juan-Caguas-Guaynabo,,0
00738,PR,21940,1.000,0.849,0.250,053,Fajardo,,0
00739,PR,41980,1.000,0.773,0.250,041,San Juan-Caguas-Guaynabo,,0
00740,PR,21940,1.000,0.849,0.250,053,Fajardo,,0
00741,PR,41980,1.000,0.773,0.250,069,San Juan-Caguas-Guaynabo,,0
00742,PR,21940,1.000,0.849,0.250,037,Fajardo,,0
00744,PR,41980,1.000,0.773,0.250,103,San Juan-Caguas-Guaynabo,,0
00745,PR,41980,1.000,0.773,0.250,119,San Juan-Caguas-Guaynabo,,0
00751,PR,99072,1.000,0.694,0.250,123,PR NONMETROPOLITAN AREA,,0
00754,PR,41980,1.000,0.773,0.250,129,San Juan-Caguas-Guaynabo,,0
00757,PR,99072,1.000,0.694,0.250,133,PR NONMETROPOLITAN AREA,,0
00765,PR,99072,1.000,0.694,0.250,147,PR NONMETROPOLITAN AREA,,0
00766,PR,38660,1.000,0.694,0.250,149,Ponce,,0
00767,PR,41980,1.000,0.773,0.250,151,San Juan-Caguas-Guaynabo,,0
00769,PR,99072,1.000,0.694,0.250,043,PR NONMETROPOLITAN AREA,,0
00771,PR,41980,1.000,0.773,0.250,085,San Juan-Caguas-Guaynabo,,0
00772,PR,41980,1.000,0.773,0.250,087,San Juan-Caguas-Guaynabo,,0
00773,PR,21940,1.000,0.849,0.250,089,Fajardo,,0
00775,PR,99072,1.000,0.694,0.250,049,PR NONMETROPOLITAN AREA,,0
00777,PR,41980,1.000,0.773,0.250,077,San Juan-Caguas-Guaynabo,,0
00778,PR,41980,1.000,0.773,0.250,063,San Juan-Caguas-Guaynabo,,0
00780,PR,38660,1.000,0.694,0.250,113,Ponce,,0
00782,PR,41980,1.000,0.773,0.250,045,San Juan-Caguas-Guaynabo,,0
00783,PR,41980,1.000,0.773,0.250,047,San Juan-Caguas-Guaynabo,,0
00784,PR,25020,1.000,0.694,0.250,057,Guayama,,0
00785,PR,49500,1.000,0.694,0.250,059,Yauco,,0
00786,PR,41980,1.000,0.773,0.250,009,San Juan-Caguas-Guaynabo,,0
00791,PR,41980,1.000,0.773,0.250,069,San Juan-Caguas-Guaynabo,,0
00792,PR,41980,1.000,0.773,0.250,069,San Juan-Caguas-Guaynabo,,0
00794,PR,41980,1.000,0.773,0.250,019,San Juan-Caguas-Guaynabo,,0
00795,PR,38660,1.000,0.694,0.250,075,Ponce,,0
00801,VI,99078,1.000,0.978,1.009,030,VI NONMETROPOLITAN AREA,,0
00802,VI,99078,1.000,0.978,1.009,030,VI NONMETROPOLITAN AREA,,0
00803,VI,99078,1.000,0.978,1.009,030,VI NONMETROPOLITAN AREA,,0
00804,VI,99078,1.000,0.978,1.009,030,VI NONMETROPOLITAN AREA,,0
00805,VI,99078,1.000,0.978,1.009,030,VI NONMETROPOLITAN AREA,,0
00820,VI,99078,1.000,0.978,1.009,010,VI NONMETROPOLITAN AREA,,0
00821,VI,99078,1.000,0.978,1.009,010,VI NONMETROPOLITAN AREA,,0
00822,VI,99078,1.000,0.978,1.009,010,VI NONMETROPOLITAN AREA,,0
00823,VI,99078,1.000,0.978,1.009,010,VI NONMETROPOLITAN AREA,,0
00824,VI,99078,1.000,0.978,1.009,010,VI NONMETROPOLITAN AREA,,0
00830,VI,99078,1.000,0.978,1.009,020,VI NONMETROPOLITAN AREA,,0
00831,VI,99078,1.000,0.978,1.009,020,VI NONMETROPOLITAN AREA,,0
00840,VI,99078,1.000,0.978,1.009,010,VI NONMETROPOLITAN AREA,,0
00841,VI,99078,1.000,0.978,1.009,010,VI NONMETROPOLITAN AREA,,0
00850,VI,99078,1.000,0.978,1.009,010,VI NONMETROPOLITAN AREA,,0
00851,VI,99078,1.000,0.978,1.009,010,VI NONMETROPOLITAN AREA,,0
00901,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00902,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00906,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00907,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00908,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00909,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00910,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00911,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00912,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00913,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00914,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00915,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00916,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00917,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00918,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00919,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00920,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00921,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00922,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00923,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00924,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00925,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00926,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00927,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00928,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00929,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00930,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00931,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00933,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00934,PR,41980,1.000,0.773,0.250,021,San Juan-Caguas-Guaynabo,,0
00935,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00936,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00937,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00938,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00939,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00940,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00949,PR,41980,1.000,0.773,0.250,137,San Juan-Caguas-Guaynabo,,0
00950,PR,41980,1.000,0.773,0.250,137,San Juan-Caguas-Guaynabo,,0
00951,PR,41980,1.000,0.773,0.250,137,San Juan-Caguas-Guaynabo,,0
00952,PR,41980,1.000,0.773,0.250,137,San Juan-Caguas-Guaynabo,,0
00953,PR,41980,1.000,0.773,0.250,135,San Juan-Caguas-Guaynabo,,0
00954,PR,41980,1.000,0.773,0.250,135,San Juan-Caguas-Guaynabo,,0
00955,PR,41980,1.000,0.773,0.250,127,San Juan-Caguas-Guaynabo,,0
00956,PR,41980,1.000,0.773,0.250,021,San Juan-Caguas-Guaynabo,,0
