mco_id,owner_id,company,al,ak,ar,az,ca,co,ct,dc,de,fl,ga,hi,ia,id,il,indiana,ks,ky,la,ma,me,mi,md,mn,ms,mo,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,ri,sc,sd,tn,tx,ut,va,vt,wa,wi,wv,wy,pr,foreign
1595,,Access Medicare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
472,,"ADVANTAGE Health Solutions, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,9,"Aetna, Inc.",56714,39250,74242,1110014,1608976,228591,443138,327423,241421,1314252,774856,9371,137210,51965,682647,198519,355701,349900,187297,212448,146104,311349,415761,82726,81780,1179462,22898,459481,55695,260870,47029,1125627,28540,151575,905247,725820,204431,104716,1629237,19675,160409,18287,225293,2468343,263247,661978,16286,288655,120327,156151,13672,56,545134
,88,Affinity Health System,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254761,0,0,0,0,0,0,0,0,0,0,0,0,0,166808,0,0,0,
1156,,AIDS Healthcare Foundation,0,0,0,0,1660,0,0,0,0,1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
162,,Alameda Alliance for Health,0,0,0,0,163229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1561,,Albright Care Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,
1063,,Alexian Brothers Community Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,
1608,,Allegiance Life & Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
934,,"Alliant Health Plans, Inc.",0,0,0,0,0,0,0,0,0,0,24076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,,AlohaCare,0,0,0,0,0,0,0,0,0,0,0,69374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
646,,AltaMed Senior Buenacare,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1178,,American Health Medicare (AHM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66509,
1450,,American National Insurance Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1446,,American Postal Workers Union Health Plan,999,287,1077,2520,6458,2146,997,637,312,7283,3532,83,1518,562,3542,2567,1176,1396,1659,1021,602,2055,3238,1759,1043,3043,575,3241,275,844,602,3617,636,1286,5309,5512,1329,1288,4372,214,1555,476,2521,9016,1430,4239,272,1782,2161,930,258,27,772
,100,"America's First Choice Holdings, Inc.",0,0,0,0,0,0,0,0,0,125633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4267,0,0,0,0,0,0,0,0,0,0,0,0,8487,0,0,0,0,0,0,0,0,0,0,0,
1045,,Amida Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1312,,"Appalachian Agency for Senior Citizens, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,
440,,Arise Health Plan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179829,0,0,0,
